"PROVIDER","NEW_PROV","STATUS17","SHORTNAME","PNAME","PCITY","PSTATE","PZIP","HSA","HSANAME","HRR","HRRNAME","FCOUNTY","FCNTYNAME","POSbeds","SYSNAME","AHAbeds","CATEGORY","TEACHSTATUS","HOSPTYPE","NCI_CENTER","EXCL_FLAG","ICU_FLAG"
"010051","010051","9.OK?","Greene County Health System","GREENE COUNTY HOSPITAL","EUTAW","AL","35462",1082,"AL- TUSCALOOSA",9,"AL- TUSCALOOSA","01063","AL-Greene County",20,,20,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010052","010052","9.OK?","Lake Martin Community Hospital","LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE","AL","36853",1023,"AL- DADEVILLE",1,"AL- BIRMINGHAM","01123","AL-Tallapoosa County",46,,25,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010055","010055","9.OK?","Flowers Hospital","FLOWERS HOSPITAL","DOTHAN","AL","36305",1026,"AL- DOTHAN",2,"AL- DOTHAN","01069","AL-Houston County",235,"Community Health Systems, Inc.",147,,,"4.Other acute care hosp",,"9.OK?",
"010056","010056","9.OK?","St. Vincent's Birmingham","ST VINCENT'S BIRMINGHAM","BIRMINGHAM","AL","35205",1011,"AL- BIRMINGHAM",1,"AL- BIRMINGHAM","01073","AL-Jefferson County",391,"Ascension Healthcare",409,,,"4.Other acute care hosp",,"9.OK?",
"010058","010058","9.OK?","Bibb Medical Center","BIBB MEDICAL CENTER","CENTREVILLE","AL","35042",1019,"AL- CENTREVILLE",9,"AL- TUSCALOOSA","01007","AL-Bibb County",35,,49,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010059","010059","9.OK?","Lawrence Medical Center","LAWRENCE MEDICAL CENTER","MOULTON","AL","35650",1060,"AL- MOULTON",1,"AL- BIRMINGHAM","01079","AL-Lawrence County",98,"Huntsville Hospital Health System",43,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010061","010061","9.OK?","Highlands Medical Center","HIGHLANDS MEDICAL CENTER","SCOTTSBORO","AL","35768",1074,"AL- SCOTTSBORO",5,"AL- HUNTSVILLE","01071","AL-Jackson County",170,,92,,,"4.Other acute care hosp",,"9.OK?",
"010062","010062","9.OK?","Wiregrass Medical Center","WIREGRASS MEDICAL CENTER","GENEVA","AL","36340",1040,"AL- GENEVA",2,"AL- DOTHAN","01061","AL-Geneva County",67,,51,,,"4.Other acute care hosp",,"9.OK?",
"010065","010065","9.OK?","Russell Medical Center","RUSSELL MEDICAL CENTER","ALEXANDER CITY","AL","35010",1002,"AL- ALEXANDER CITY",1,"AL- BIRMINGHAM","01123","AL-Tallapoosa County",81,,69,,,"4.Other acute care hosp",,"9.OK?",
"010069","010069","9.OK?","Medical Center Barbour","MEDICAL CENTER BARBOUR","EUFAULA","AL","36027",1029,"AL- EUFAULA",2,"AL- DOTHAN","01005","AL-Barbour County",57,,47,,,"4.Other acute care hosp",,"9.OK?",
"010073","010073","9.OK?","Clay County Hospital","CLAY COUNTY HOSPITAL","ASHLAND","AL","36251",1006,"AL- ASHLAND",1,"AL- BIRMINGHAM","01027","AL-Clay County",53,,129,,,"4.Other acute care hosp",,"9.OK?",
"010078","010078","9.OK?","Northeast Alabama Reg Med Ctr","NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","ANNISTON","AL","36207",1004,"AL- ANNISTON",1,"AL- BIRMINGHAM","01015","AL-Calhoun County",288,"Regional Medical Center",276,,,"4.Other acute care hosp",,"9.OK?",
"010079","010079","9.OK?","Athens-Limestone Hospital","ATHENS LIMESTONE HOSPITAL","ATHENS","AL","35611",1007,"AL- ATHENS",5,"AL- HUNTSVILLE","01083","AL-Limestone County",71,"Huntsville Hospital Health System",71,,,"4.Other acute care hosp",,"9.OK?",
"010083","010083","9.OK?","South Baldwin Regional Med Ctr","SOUTH BALDWIN REGIONAL MEDICAL CENTER","FOLEY","AL","36535",1037,"AL- FOLEY",6,"AL- MOBILE","01003","AL-Baldwin County",112,"Community Health Systems, Inc.",112,,,"4.Other acute care hosp",,"9.OK?",
"010085","010085","9.OK?","Decatur Morgan Hospital","DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","DECATUR","AL","35601",1024,"AL- DECATUR",5,"AL- HUNTSVILLE","01103","AL-Morgan County",439,"Huntsville Hospital Health System",110,,,"4.Other acute care hosp",,"9.OK?",
"010086","010086","9.OK?","Northwest Medical Center","NORTHWEST MEDICAL CENTER","WINFIELD","AL","35594",1088,"AL- WINFIELD",1,"AL- BIRMINGHAM","01093","AL-Marion County",61,"Curae Health",66,,,"4.Other acute care hosp",,"9.OK?",
"010087","010087","9.OK?","Univ Of South Alabama Med Ctr","UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","MOBILE","AL","36617",1057,"AL- MOBILE",6,"AL- MOBILE","01097","AL-Mobile County",366,"University of South Alabama Health System",142,"Integrated","Major Teaching","1.Integrated AMC",,"9.OK?",
"010089","010089","9.OK?","Walker Baptist Medical Center","WALKER BAPTIST MEDICAL CENTER","JASPER","AL","35502",1054,"AL- JASPER",1,"AL- BIRMINGHAM","01127","AL-Walker County",227,"TENET Healthcare Corporation",158,,,"4.Other acute care hosp",,"9.OK?",
"010090","010090","9.OK?","Providence Hospital","PROVIDENCE HOSPITAL","MOBILE","AL","36608",1057,"AL- MOBILE",6,"AL- MOBILE","01097","AL-Mobile County",317,"Ascension Healthcare",305,,,"4.Other acute care hosp",,"9.OK?",
"010091","010091","9.OK?","Grove Hill Memorial Hospital","GROVE HILL MEMORIAL HOSPITAL","GROVE HILL","AL","36451",1045,"AL- GROVE HILL",6,"AL- MOBILE","01025","AL-Clarke County",41,,34,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010092","010092","9.OK?","Dch Regional Medical Center","D C H REGIONAL MEDICAL CENTER","TUSCALOOSA","AL","35401",1082,"AL- TUSCALOOSA",9,"AL- TUSCALOOSA","01125","AL-Tuscaloosa County",691,"DCH Health System",583,,,"4.Other acute care hosp",,"9.OK?",
"010095","010095","9.OK?","Hale County Hospital","HALE COUNTY HOSPITAL","GREENSBORO","AL","36744",1082,"AL- TUSCALOOSA",9,"AL- TUSCALOOSA","01065","AL-Hale County",39,,20,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010097","010097","9.OK?","Elmore Community Hospital","ELMORE COMMUNITY HOSPITAL","WETUMPKA","AL","36092",1059,"AL- MONTGOMERY",7,"AL- MONTGOMERY","01051","AL-Elmore County",69,,49,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010099","010099","9.OK?","D. W. Mcmillan Memorial Hospital","D W MCMILLAN MEMORIAL HOSPITAL","BREWTON","AL","36426",1013,"AL- BREWTON",134,"FL- PENSACOLA","01053","AL-Escambia County",65,,49,,,"4.Other acute care hosp",,"9.OK?",
"010100","010100","9.OK?","Thomas Hospital","THOMAS HOSPITAL","FAIRHOPE","AL","36532",1032,"AL- FAIRHOPE",6,"AL- MOBILE","01003","AL-Baldwin County",131,"Infirmary Health System",136,,,"4.Other acute care hosp",,"9.OK?",
"010101","010101","9.OK?","Citizens Baptist Medical Center","CITIZENS BAPTIST MEDICAL CENTER","TALLADEGA","AL","35161",1078,"AL- TALLADEGA",1,"AL- BIRMINGHAM","01121","AL-Talladega County",107,"TENET Healthcare Corporation",72,,,"4.Other acute care hosp",,"9.OK?",
"010102","010102","9.OK?","J. Paul Jones Hospital","J PAUL JONES HOSPITAL","CAMDEN","AL","36726",1016,"AL- CAMDEN",1,"AL- BIRMINGHAM","01131","AL-Wilcox County",30,,,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010103","010103","9.OK?","Princeton Baptist Medical Center","PRINCETON BAPTIST MEDICAL CENTER","BIRMINGHAM","AL","35211",1011,"AL- BIRMINGHAM",1,"AL- BIRMINGHAM","01073","AL-Jefferson County",475,"TENET Healthcare Corporation",315,,,"4.Other acute care hosp",,"9.OK?",
"010104","010104","9.OK?","Grandview Medical Center","GRANDVIEW MEDICAL CENTER","BIRMINGHAM","AL","35243",1011,"AL- BIRMINGHAM",1,"AL- BIRMINGHAM","01073","AL-Jefferson County",343,"Community Health Systems, Inc.",379,,,"4.Other acute care hosp",,"9.OK?",
"010108","010108","9.OK?","Prattville Baptist Hospital","PRATTVILLE BAPTIST HOSPITAL","PRATTVILLE","AL","36067",1070,"AL- PRATTVILLE",7,"AL- MONTGOMERY","01001","AL-Autauga County",85,"Baptist Health",55,,,"4.Other acute care hosp",,"9.OK?",
"010109","010109","9.OK?","Pickens County Medical Center","PICKENS COUNTY MEDICAL CENTER","CARROLLTON","AL","35447",1017,"AL- CARROLLTON",9,"AL- TUSCALOOSA","01107","AL-Pickens County",46,,52,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010110","010110","9.OK?","Bullock County Hospital","BULLOCK COUNTY HOSPITAL","UNION SPRINGS","AL","36089",1083,"AL- UNION SPRINGS",7,"AL- MONTGOMERY","01011","AL-Bullock County",31,,54,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010112","010112","9.OK?","Bryan W. Whitfield Memorial Hosp","BRYAN W. WHITFIELD MEMORIAL HOSPITAL","DEMOPOLIS","AL","36732",1025,"AL- DEMOPOLIS",1,"AL- BIRMINGHAM","01091","AL-Marengo County",79,"UAB Health System",47,,,"4.Other acute care hosp",,"9.OK?",
"010113","010113","9.OK?","Mobile Infirmary Medical Center","MOBILE INFIRMARY MEDICAL CENTER","MOBILE","AL","36652",1057,"AL- MOBILE",6,"AL- MOBILE","01097","AL-Mobile County",619,"Infirmary Health System",554,,,"4.Other acute care hosp",,"9.OK?",
"010114","010114","9.OK?","Medical West","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","BESSEMER","AL","35021",1010,"AL- BESSEMER",1,"AL- BIRMINGHAM","01073","AL-Jefferson County",260,"UAB Health System",231,,,"4.Other acute care hosp",,"9.OK?",
"010118","010118","9.OK?","Vaughan Regional Medical Center","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","SELMA","AL","36701",1075,"AL- SELMA",1,"AL- BIRMINGHAM","01047","AL-Dallas County",214,"LifePoint Health",149,,,"4.Other acute care hosp",,"9.OK?",
"010120","010120","9.OK?","Monroe County Hospital","MONROE COUNTY HOSPITAL","MONROEVILLE","AL","36460",1058,"AL- MONROEVILLE",6,"AL- MOBILE","01099","AL-Monroe County",94,,44,,,"4.Other acute care hosp",,"9.OK?",
"010125","010125","9.OK?","Lakeland Community Hospital","LAKELAND COMMUNITY HOSPITAL","HALEYVILLE","AL","35565",1047,"AL- HALEYVILLE",1,"AL- BIRMINGHAM","01133","AL-Winston County",41,,59,,,"4.Other acute care hosp",,"9.OK?",
"010126","010126","9.OK?","Troy Regional Medical Center","TROY REGIONAL MEDICAL CENTER","TROY","AL","36081",1081,"AL- TROY",7,"AL- MONTGOMERY","01109","AL-Pike County",97,,43,,,"4.Other acute care hosp",,"9.OK?",
"010128","010128","9.OK?","Jackson Medical Center","JACKSON MEDICAL CENTER","JACKSON","AL","36545",1057,"AL- MOBILE",6,"AL- MOBILE","01025","AL-Clarke County",35,"Gilliard Health Services",26,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010129","010129","9.OK?","North Baldwin Infirmary","NORTH BALDWIN INFIRMARY","BAY MINETTE","AL","36507",1057,"AL- MOBILE",6,"AL- MOBILE","01003","AL-Baldwin County",55,"Infirmary Health System",50,,,"4.Other acute care hosp",,"9.OK?",
"010130","010130","9.OK?","St. Vincent's St. Clair","ST VINCENT'S ST CLAIR","PELL CITY","AL","35125",1011,"AL- BIRMINGHAM",1,"AL- BIRMINGHAM","01115","AL-St. Clair County",40,"Ascension Healthcare",40,,,"4.Other acute care hosp",,"9.OK?",
"010131","010131","9.OK?","Crestwood Medical Center","CRESTWOOD MEDICAL CENTER","HUNTSVILLE","AL","35801",1051,"AL- HUNTSVILLE",5,"AL- HUNTSVILLE","01089","AL-Madison County",135,"Community Health Systems, Inc.",177,,,"4.Other acute care hosp",,"9.OK?",
"010138","010138","9.OK?","Hill Hospital Of Sumter County","HILL HOSPITAL OF SUMTER COUNTY","YORK","AL","36925",25056,"MS- MERIDIAN",260,"MS- MERIDIAN","01119","AL-Sumter County",33,,33,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010139","010139","9.OK?","Brookwood Baptist Medical Ctr","BROOKWOOD BAPTIST MEDICAL CENTER","BIRMINGHAM","AL","35209",1011,"AL- BIRMINGHAM",1,"AL- BIRMINGHAM","01073","AL-Jefferson County",441,"TENET Healthcare Corporation",607,,,"4.Other acute care hosp",,"9.OK?",
"010144","010144","9.OK?","Springhill Memorial Hospital","SPRINGHILL MEMORIAL HOSPITAL","MOBILE","AL","36608",1057,"AL- MOBILE",6,"AL- MOBILE","01097","AL-Mobile County",252,,219,,,"4.Other acute care hosp",,"9.OK?",
"010146","010146","9.OK?","Rmc Jacksonville","RMC JACKSONVILLE","JACKSONVILLE","AL","36265",1053,"AL- JACKSONVILLE",1,"AL- BIRMINGHAM","01015","AL-Calhoun County",94,,,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010148","010148","9.OK?","Evergreen Medical Center","EVERGREEN MEDICAL CENTER","EVERGREEN","AL","36401",1031,"AL- EVERGREEN",7,"AL- MONTGOMERY","01035","AL-Conecuh County",30,"Gilliard Health Services",39,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010149","010149","9.OK?","Baptist Medical Center East","BAPTIST MEDICAL CENTER EAST","MONTGOMERY","AL","36117",1059,"AL- MONTGOMERY",7,"AL- MONTGOMERY","01101","AL-Montgomery County",135,"Baptist Health",164,,,"4.Other acute care hosp",,"9.OK?",
"010150","010150","9.OK?","L. V. Stabler Memorial Hospital","L V STABLER MEMORIAL HOSPITAL","GREENVILLE","AL","36037",1044,"AL- GREENVILLE",7,"AL- MONTGOMERY","01013","AL-Butler County",59,,61,,,"4.Other acute care hosp",,"9.OK?",
"010157","010157","9.OK?","Shoals Hospital","SHOALS HOSPITAL","MUSCLE SHOALS","AL","35661",1061,"AL- MUSCLE SHL/SHEFFIELD",1,"AL- BIRMINGHAM","01033","AL-Colbert County",122,"RCCH HealthCare Partners",137,,,"4.Other acute care hosp",,"9.OK?",
"010158","010158","9.OK?","Russellville Hospital","RUSSELLVILLE HOSPITAL","RUSSELLVILLE","AL","35653",1073,"AL- RUSSELLVILLE",1,"AL- BIRMINGHAM","01059","AL-Franklin County",100,"Curae Health",92,,,"4.Other acute care hosp",,"9.OK?",
"010164","010164","9.OK?","Coosa Valley Medical Center","COOSA VALLEY MEDICAL CENTER","SYLACAUGA","AL","35150",1077,"AL- SYLACAUGA",1,"AL- BIRMINGHAM","01121","AL-Talladega County",148,,101,,,"4.Other acute care hosp",,"9.OK?",
"010168","010168","9.OK?","Jack Hughston Memorial Hospital","JACK HUGHSTON MEMORIAL HOSPITAL","PHENIX CITY","AL","36867",1068,"AL- PHENIX CITY",146,"GA- COLUMBUS","01113","AL-Russell County",70,,35,,,"4.Other acute care hosp",,"9.OK?",
"010169","010169","9.OK?","Atmore Community Hospital","ATMORE COMMUNITY HOSPITAL","ATMORE","AL","36502",1008,"AL- ATMORE",134,"FL- PENSACOLA","01053","AL-Escambia County",49,"Infirmary Health System",33,,,"4.Other acute care hosp",,"9.OK?",
"010173","010173","9.OK?","St Vincent's Chilton","ST VINCENT'S CHILTON","CLANTON","AL","35045",1001,"AL- ALABASTER",1,"AL- BIRMINGHAM","01021","AL-Chilton County",30,"Ascension Healthcare",36,,,"4.Other acute care hosp",,"9.OK?",
"011300","011300","9.OK?","Washington County Hospital","WASHINGTON COUNTY HOSPITAL","CHATOM","AL","36518",1057,"AL- MOBILE",6,"AL- MOBILE","01129","AL-Washington County",25,,20,,,"3.Critical Access Hosp",,"9.OK?","noICUdays"
"011302","011302","9.OK?","Red Bay Hospital","RED BAY HOSPITAL","RED BAY","AL","35582",1071,"AL- RED BAY",1,"AL- BIRMINGHAM","01059","AL-Franklin County",25,"Huntsville Hospital Health System",25,,,"3.Critical Access Hosp",,"9.OK?","noICUdays"
"011304","011304","9.OK?","Choctaw General Hospital","CHOCTAW GENERAL HOSPITAL","BUTLER","AL","36904",25056,"MS- MERIDIAN",260,"MS- MERIDIAN","01023","AL-Choctaw County",25,"Rush Health Systems",25,,,"3.Critical Access Hosp",,"9.OK?","noICUdays"
"011305","011305","9.OK?","St. Vincent's Blount","ST VINCENTS BLOUNT","ONEONTA","AL","35121",1063,"AL- ONEONTA",1,"AL- BIRMINGHAM","01009","AL-Blount County",25,"Ascension Healthcare",25,,,"3.Critical Access Hosp",,"9.OK?",
"012006","012006","1.NonAcute","Infirmary Long Term Acute Care Hosp","INFIRMARY LTAC HOSPITAL","MOBILE","AL","36607",1057,"AL- MOBILE",6,"AL- MOBILE","01097","AL-Mobile County",38,"Infirmary Health System",38,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"012007","012007","1.NonAcute","Noland Hospital Montgomery","NOLAND HOSPITAL MONTGOMERY II, LLC","MONTGOMERY","AL","36106",1059,"AL- MONTGOMERY",7,"AL- MONTGOMERY","01101","AL-Montgomery County",60,"Noland Health Services, Inc.",65,,,"5.Longterm/non-acute",,"1.NonAcute",
"012008","012008","1.NonAcute","Select Specialty Hosp-Birmingham","SELECT SPECIALTY HOSPITAL - BIRMINGHAM","BIRMINGHAM","AL","35209",1011,"AL- BIRMINGHAM",1,"AL- BIRMINGHAM","01073","AL-Jefferson County",38,"Select Medical Corporation",38,,,"5.Longterm/non-acute",,"1.NonAcute",
"012009","012009","1.NonAcute","Noland Hospital Birmingham","NOLAND HOSPITAL BIRMINGHAM II, LLC","BIRMINGHAM","AL","35235",1011,"AL- BIRMINGHAM",1,"AL- BIRMINGHAM","01073","AL-Jefferson County",45,"Noland Health Services, Inc.",45,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"012010","012010","1.NonAcute","Noland Hospital Dothan","NOLAND HOSPITAL DOTHAN II, LLC","DOTHAN","AL","36302",1026,"AL- DOTHAN",2,"AL- DOTHAN","01069","AL-Houston County",35,"Noland Health Services, Inc.",38,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"012011","012011","1.NonAcute","Noland Hospital Anniston","NOLAND HOSPITAL ANNISTON II, LLC","ANNISTON","AL","36202",1004,"AL- ANNISTON",1,"AL- BIRMINGHAM","01015","AL-Calhoun County",38,"Noland Health Services, Inc.",38,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"012012","012012","1.NonAcute","Noland Hospital Tuscaloosa","NOLAND HOSPITAL TUSCALOOSA II, LLC","TUSCALOOSA","AL","35401",1082,"AL- TUSCALOOSA",9,"AL- TUSCALOOSA","01125","AL-Tuscaloosa County",32,"Noland Health Services, Inc.",32,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"012013","012013","1.NonAcute","Noland Hospital Shelby","NOLAND HOSPITAL SHELBY II, LLC","ALABASTER","AL","35007",1001,"AL- ALABASTER",1,"AL- BIRMINGHAM","01117","AL-Shelby County",52,"Noland Health Services, Inc.",52,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"012014","012014","1.NonAcute","North Alabama Specialty Hospital","NORTH ALABAMA SPECIALTY HOSPITAL","ATHENS","AL","35611",1007,"AL- ATHENS",5,"AL- HUNTSVILLE","01083","AL-Limestone County",31,,,,,"5.Longterm/non-acute",,"1.NonAcute","noICUdays"
"020001","020001","9.OK?","Providence Alaska Medical Center","PROVIDENCE ALASKA MEDICAL CENTER","ANCHORAGE","AK","99508",2001,"AK- ANCHORAGE",10,"AK- ANCHORAGE","02020","AK-Anchorage Municipality",391,"Providence St. Joseph Health",401,,,"4.Other acute care hosp",,"9.OK?",
