County Formatted,County,State Formatted,State,Population
Henry,HENRY,Kentucky,KENTUCKY,16126
Hickman,HICKMAN,Kentucky,KENTUCKY,4380
Hopkins,HOPKINS,Kentucky,KENTUCKY,44686
Jackson,JACKSON,Kentucky,KENTUCKY,13329
Jefferson,JEFFERSON,Kentucky,KENTUCKY,766757
Jessamine,JESSAMINE,Kentucky,KENTUCKY,54115
Johnson,JOHNSON,Kentucky,KENTUCKY,22188
Kenton,KENTON,Kentucky,KENTUCKY,166998
Knott,KNOTT,Kentucky,KENTUCKY,14806
Knox,KNOX,Kentucky,KENTUCKY,31145
Larue,LARUE,Kentucky,KENTUCKY,14398
Laurel,LAUREL,Kentucky,KENTUCKY,60813
Lawrence,LAWRENCE,Kentucky,KENTUCKY,15317
Lee,LEE,Kentucky,KENTUCKY,7403
Leslie,LESLIE,Kentucky,KENTUCKY,9877
Letcher,LETCHER,Kentucky,KENTUCKY,21553
Lewis,LEWIS,Kentucky,KENTUCKY,13275
Lincoln,LINCOLN,Kentucky,KENTUCKY,24549
Livingston,LIVINGSTON,Kentucky,KENTUCKY,9194
Logan,LOGAN,Kentucky,KENTUCKY,27102
Lyon,LYON,Kentucky,KENTUCKY,8210
McCracken,MCCRACKEN,Kentucky,KENTUCKY,65418
McCreary,MCCREARY,Kentucky,KENTUCKY,17231
McLean,MCLEAN,Kentucky,KENTUCKY,9207
Madison,MADISON,Kentucky,KENTUCKY,92987
Magoffin,MAGOFFIN,Kentucky,KENTUCKY,12161
Marion,MARION,Kentucky,KENTUCKY,19273
Marshall,MARSHALL,Kentucky,KENTUCKY,31100
Martin,MARTIN,Kentucky,KENTUCKY,11195
Mason,MASON,Kentucky,KENTUCKY,17070
Meade,MEADE,Kentucky,KENTUCKY,28572
Menifee,MENIFEE,Kentucky,KENTUCKY,6489
Mercer,MERCER,Kentucky,KENTUCKY,21933
Metcalfe,METCALFE,Kentucky,KENTUCKY,10071
Monroe,MONROE,Kentucky,KENTUCKY,10650
Montgomery,MONTGOMERY,Kentucky,KENTUCKY,28157
Morgan,MORGAN,Kentucky,KENTUCKY,13309
Muhlenberg,MUHLENBERG,Kentucky,KENTUCKY,30622
Nelson,NELSON,Kentucky,KENTUCKY,46233
Nicholas,NICHOLAS,Kentucky,KENTUCKY,7269
Ohio,OHIO,Kentucky,KENTUCKY,23994
Oldham,OLDHAM,Kentucky,KENTUCKY,66799
Owen,OWEN,Kentucky,KENTUCKY,10901
Owsley,OWSLEY,Kentucky,KENTUCKY,4415
Pendleton,PENDLETON,Kentucky,KENTUCKY,14590
Perry,PERRY,Kentucky,KENTUCKY,25758
Pike,PIKE,Kentucky,KENTUCKY,57876
Powell,POWELL,Kentucky,KENTUCKY,12359
Pulaski,PULASKI,Kentucky,KENTUCKY,64979
Robertson,ROBERTSON,Kentucky,KENTUCKY,2108
Rockcastle,ROCKCASTLE,Kentucky,KENTUCKY,16695
Rowan,ROWAN,Kentucky,KENTUCKY,24460
Russell,RUSSELL,Kentucky,KENTUCKY,17923
Scott,SCOTT,Kentucky,KENTUCKY,57004
Shelby,SHELBY,Kentucky,KENTUCKY,49024
Simpson,SIMPSON,Kentucky,KENTUCKY,18572
Spencer,SPENCER,Kentucky,KENTUCKY,19351
Taylor,TAYLOR,Kentucky,KENTUCKY,25769
Todd,TODD,Kentucky,KENTUCKY,12294
Trigg,TRIGG,Kentucky,KENTUCKY,14651
Trimble,TRIMBLE,Kentucky,KENTUCKY,8471
Union,UNION,Kentucky,KENTUCKY,14381
Warren,WARREN,Kentucky,KENTUCKY,132896
Washington,WASHINGTON,Kentucky,KENTUCKY,12095
Wayne,WAYNE,Kentucky,KENTUCKY,20333
Webster,WEBSTER,Kentucky,KENTUCKY,12942
Whitley,WHITLEY,Kentucky,KENTUCKY,36264
Wolfe,WOLFE,Kentucky,KENTUCKY,7157
Woodford,WOODFORD,Kentucky,KENTUCKY,26734
Acadia,ACADIA,Louisiana,LOUISIANA,62045
Allen,ALLEN,Louisiana,LOUISIANA,25627
Ascension,ASCENSION,Louisiana,LOUISIANA,126604
Assumption,ASSUMPTION,Louisiana,LOUISIANA,21891
Avoyelles,AVOYELLES,Louisiana,LOUISIANA,40144
Beauregard,BEAUREGARD,Louisiana,LOUISIANA,37497
Bienville,BIENVILLE,Louisiana,LOUISIANA,13241
Bossier,BOSSIER,Louisiana,LOUISIANA,127039
Caddo,CADDO,Louisiana,LOUISIANA,240204
Calcasieu,CALCASIEU,Louisiana,LOUISIANA,203436
Caldwell,CALDWELL,Louisiana,LOUISIANA,9918
Cameron,CAMERON,Louisiana,LOUISIANA,6973
Catahoula,CATAHOULA,Louisiana,LOUISIANA,9494
Claiborne,CLAIBORNE,Louisiana,LOUISIANA,15670
Concordia,CONCORDIA,Louisiana,LOUISIANA,19259
De Soto,DESOTO,Louisiana,LOUISIANA,27463
East Baton Rouge,EASTBATONROUGE,Louisiana,LOUISIANA,440059
East Carroll,EASTCARROLL,Louisiana,LOUISIANA,6861
East Feliciana,EASTFELICIANA,Louisiana,LOUISIANA,19135
Evangeline,EVANGELINE,Louisiana,LOUISIANA,33395
Franklin,FRANKLIN,Louisiana,LOUISIANA,20015
Grant,GRANT,Louisiana,LOUISIANA,22389
Iberia,IBERIA,Louisiana,LOUISIANA,69830
Iberville,IBERVILLE,Louisiana,LOUISIANA,32511
Jackson,JACKSON,Louisiana,LOUISIANA,15744
Jefferson,JEFFERSON,Louisiana,LOUISIANA,432493
Jefferson Davis,JEFFERSONDAVIS,Louisiana,LOUISIANA,31368
Lafayette,LAFAYETTE,Louisiana,LOUISIANA,244390
Lafourche,LAFOURCHE,Louisiana,LOUISIANA,97614
LaSalle,LASALLE,Louisiana,LOUISIANA,14892
Lincoln,LINCOLN,Louisiana,LOUISIANA,46742
Livingston,LIVINGSTON,Louisiana,LOUISIANA,140789
Madison,MADISON,Louisiana,LOUISIANA,10951
Morehouse,MOREHOUSE,Louisiana,LOUISIANA,24874
Natchitoches,NATCHITOCHES,Louisiana,LOUISIANA,38158
Orleans,ORLEANS,Louisiana,LOUISIANA,390144
Ouachita,OUACHITA,Louisiana,LOUISIANA,153279
Plaquemines,PLAQUEMINES,Louisiana,LOUISIANA,23197
Pointe Coupee,POINTECOUPEE,Louisiana,LOUISIANA,21730
Rapides,RAPIDES,Louisiana,LOUISIANA,129648
Red River,REDRIVER,Louisiana,LOUISIANA,8442
Richland,RICHLAND,Louisiana,LOUISIANA,20122
Sabine,SABINE,Louisiana,LOUISIANA,23884
St. Bernard,ST.BERNARD,Louisiana,LOUISIANA,47244
St. Charles,ST.CHARLES,Louisiana,LOUISIANA,53100
St. Helena,ST.HELENA,Louisiana,LOUISIANA,10132
St. James,ST.JAMES,Louisiana,LOUISIANA,21096
St. John the Baptist,ST.JOHNTHEBAPTIST,Louisiana,LOUISIANA,42837
St. Landry,ST.LANDRY,Louisiana,LOUISIANA,82124
St. Martin,ST.MARTIN,Louisiana,LOUISIANA,53431
St. Mary,ST.MARY,Louisiana,LOUISIANA,49348
St. Tammany,ST.TAMMANY,Louisiana,LOUISIANA,260419
Tangipahoa,TANGIPAHOA,Louisiana,LOUISIANA,134758
Tensas,TENSAS,Louisiana,LOUISIANA,4334
Terrebonne,TERREBONNE,Louisiana,LOUISIANA,110461
Union,UNION,Louisiana,LOUISIANA,22108
Vermilion,VERMILION,Louisiana,LOUISIANA,59511
Vernon,VERNON,Louisiana,LOUISIANA,47429
Washington,WASHINGTON,Louisiana,LOUISIANA,46194
Webster,WEBSTER,Louisiana,LOUISIANA,38340
West Baton Rouge,WESTBATONROUGE,Louisiana,LOUISIANA,26465
West Carroll,WESTCARROLL,Louisiana,LOUISIANA,10830
West Feliciana,WESTFELICIANA,Louisiana,LOUISIANA,15568
Winn,WINN,Louisiana,LOUISIANA,13904
Androscoggin,ANDROSCOGGIN,Maine,MAINE,108277
Aroostook,AROOSTOOK,Maine,MAINE,67055
Cumberland,CUMBERLAND,Maine,MAINE,295003
Franklin,FRANKLIN,Maine,MAINE,30199
Hancock,HANCOCK,Maine,MAINE,54987
Kennebec,KENNEBEC,Maine,MAINE,122302
Knox,KNOX,Maine,MAINE,39772
Lincoln,LINCOLN,Maine,MAINE,34634
Oxford,OXFORD,Maine,MAINE,57975
Penobscot,PENOBSCOT,Maine,MAINE,152148
Piscataquis,PISCATAQUIS,Maine,MAINE,16785
Sagadahoc,SAGADAHOC,Maine,MAINE,35856
Somerset,SOMERSET,Maine,MAINE,50484
Waldo,WALDO,Maine,MAINE,39715
Washington,WASHINGTON,Maine,MAINE,31379
York,YORK,Maine,MAINE,207641
Allegany,ALLEGANY,Maryland,MARYLAND,70416
Anne Arundel,ANNEARUNDEL,Maryland,MARYLAND,579234
Baltimore,BALTIMORE,Maryland,MARYLAND,827370
Calvert,CALVERT,Maryland,MARYLAND,92525
Caroline,CAROLINE,Maryland,MARYLAND,33406
Carroll,CARROLL,Maryland,MARYLAND,168447
Cecil,CECIL,Maryland,MARYLAND,102855
Charles,CHARLES,Maryland,MARYLAND,163257
Dorchester,DORCHESTER,Maryland,MARYLAND,31929
Frederick,FREDERICK,Maryland,MARYLAND,259547
Garrett,GARRETT,Maryland,MARYLAND,29014
Harford,HARFORD,Maryland,MARYLAND,255441
Howard,HOWARD,Maryland,MARYLAND,325690
Kent,KENT,Maryland,MARYLAND,19422
Montgomery,MONTGOMERY,Maryland,MARYLAND,1050688
Prince George's,PRINCEGEORGE'S,Maryland,MARYLAND,909327
Queen Anne's,QUEENANNE'S,Maryland,MARYLAND,50381
St. Mary's,ST.MARY'S,Maryland,MARYLAND,113510
Somerset,SOMERSET,Maryland,MARYLAND,25616
Talbot,TALBOT,Maryland,MARYLAND,37181
Washington,WASHINGTON,Maryland,MARYLAND,151049
Wicomico,WICOMICO,Maryland,MARYLAND,103609
Worcester,WORCESTER,Maryland,MARYLAND,52276
Baltimore city,BALTIMORECITY,Maryland,MARYLAND,593490
Barnstable,BARNSTABLE,Massachusetts,MASSACHUSETTS,212990
Berkshire,BERKSHIRE,Massachusetts,MASSACHUSETTS,124944
Bristol,BRISTOL,Massachusetts,MASSACHUSETTS,565217
Dukes,DUKES,Massachusetts,MASSACHUSETTS,17332
Essex,ESSEX,Massachusetts,MASSACHUSETTS,789034
Franklin,FRANKLIN,Massachusetts,MASSACHUSETTS,70180
Hampden,HAMPDEN,Massachusetts,MASSACHUSETTS,466372
Hampshire,HAMPSHIRE,Massachusetts,MASSACHUSETTS,160830
Middlesex,MIDDLESEX,Massachusetts,MASSACHUSETTS,1611699
Nantucket,NANTUCKET,Massachusetts,MASSACHUSETTS,11399
Norfolk,NORFOLK,Massachusetts,MASSACHUSETTS,706775
Plymouth,PLYMOUTH,Massachusetts,MASSACHUSETTS,521202
Suffolk,SUFFOLK,Massachusetts,MASSACHUSETTS,803907
Worcester,WORCESTER,Massachusetts,MASSACHUSETTS,830622
Alcona,ALCONA,Michigan,MICHIGAN,10405
Alger,ALGER,Michigan,MICHIGAN,9108
Allegan,ALLEGAN,Michigan,MICHIGAN,118081
Alpena,ALPENA,Michigan,MICHIGAN,28405
Antrim,ANTRIM,Michigan,MICHIGAN,23324
Arenac,ARENAC,Michigan,MICHIGAN,14883
Baraga,BARAGA,Michigan,MICHIGAN,8209
Barry,BARRY,Michigan,MICHIGAN,61550
Bay,BAY,Michigan,MICHIGAN,103126
Benzie,BENZIE,Michigan,MICHIGAN,17766
Berrien,BERRIEN,Michigan,MICHIGAN,153401
Branch,BRANCH,Michigan,MICHIGAN,43517
Calhoun,CALHOUN,Michigan,MICHIGAN,134159
Cass,CASS,Michigan,MICHIGAN,51787
Charlevoix,CHARLEVOIX,Michigan,MICHIGAN,26143
Cheboygan,CHEBOYGAN,Michigan,MICHIGAN,25276
Chippewa,CHIPPEWA,Michigan,MICHIGAN,37349
Clare,CLARE,Michigan,MICHIGAN,30950
Clinton,CLINTON,Michigan,MICHIGAN,79595
Crawford,CRAWFORD,Michigan,MICHIGAN,14029
Delta,DELTA,Michigan,MICHIGAN,35784
Dickinson,DICKINSON,Michigan,MICHIGAN,25239
Eaton,EATON,Michigan,MICHIGAN,110268
Emmet,EMMET,Michigan,MICHIGAN,33415
Genesee,GENESEE,Michigan,MICHIGAN,405813
Gladwin,GLADWIN,Michigan,MICHIGAN,25449
Gogebic,GOGEBIC,Michigan,MICHIGAN,13975
Grand Traverse,GRANDTRAVERSE,Michigan,MICHIGAN,93088
Gratiot,GRATIOT,Michigan,MICHIGAN,40711
Hillsdale,HILLSDALE,Michigan,MICHIGAN,45605
Houghton,HOUGHTON,Michigan,MICHIGAN,35684
Huron,HURON,Michigan,MICHIGAN,30981
Ingham,INGHAM,Michigan,MICHIGAN,292406
Ionia,IONIA,Michigan,MICHIGAN,64697
Iosco,IOSCO,Michigan,MICHIGAN,25127
Iron,IRON,Michigan,MICHIGAN,11066
Isabella,ISABELLA,Michigan,MICHIGAN,69872
Jackson,JACKSON,Michigan,MICHIGAN,158510
Kalamazoo,KALAMAZOO,Michigan,MICHIGAN,265066
Kalkaska,KALKASKA,Michigan,MICHIGAN,18038
Kent,KENT,Michigan,MICHIGAN,656955
Keweenaw,KEWEENAW,Michigan,MICHIGAN,2116
Lake,LAKE,Michigan,MICHIGAN,11853
Lapeer,LAPEER,Michigan,MICHIGAN,87607
Leelanau,LEELANAU,Michigan,MICHIGAN,21761
Lenawee,LENAWEE,Michigan,MICHIGAN,98451
Livingston,LIVINGSTON,Michigan,MICHIGAN,191995
Luce,LUCE,Michigan,MICHIGAN,6229
Mackinac,MACKINAC,Michigan,MICHIGAN,10799
Macomb,MACOMB,Michigan,MICHIGAN,873972
Manistee,MANISTEE,Michigan,MICHIGAN,24558
Marquette,MARQUETTE,Michigan,MICHIGAN,66699
Mason,MASON,Michigan,MICHIGAN,29144
Mecosta,MECOSTA,Michigan,MICHIGAN,43453
Menominee,MENOMINEE,Michigan,MICHIGAN,22780
Midland,MIDLAND,Michigan,MICHIGAN,83156
Missaukee,MISSAUKEE,Michigan,MICHIGAN,15118
Monroe,MONROE,Michigan,MICHIGAN,150500
Montcalm,MONTCALM,Michigan,MICHIGAN,63888
Montmorency,MONTMORENCY,Michigan,MICHIGAN,9328
Muskegon,MUSKEGON,Michigan,MICHIGAN,173566
Newaygo,NEWAYGO,Michigan,MICHIGAN,48980
Oakland,OAKLAND,Michigan,MICHIGAN,1257584
Oceana,OCEANA,Michigan,MICHIGAN,26467
Ogemaw,OGEMAW,Michigan,MICHIGAN,20997
Ontonagon,ONTONAGON,Michigan,MICHIGAN,5720
Osceola,OSCEOLA,Michigan,MICHIGAN,23460
Oscoda,OSCODA,Michigan,MICHIGAN,8241
Otsego,OTSEGO,Michigan,MICHIGAN,24668
Ottawa,OTTAWA,Michigan,MICHIGAN,291830
Presque Isle,PRESQUEISLE,Michigan,MICHIGAN,12592
Roscommon,ROSCOMMON,Michigan,MICHIGAN,24019
Saginaw,SAGINAW,Michigan,MICHIGAN,190539
St. Clair,ST.CLAIR,Michigan,MICHIGAN,159128
St. Joseph,ST.JOSEPH,Michigan,MICHIGAN,60964
Sanilac,SANILAC,Michigan,MICHIGAN,41170
Schoolcraft,SCHOOLCRAFT,Michigan,MICHIGAN,8094
Shiawassee,SHIAWASSEE,Michigan,MICHIGAN,68122
Tuscola,TUSCOLA,Michigan,MICHIGAN,52245
Van Buren,VANBUREN,Michigan,MICHIGAN,75677
Washtenaw,WASHTENAW,Michigan,MICHIGAN,367601
Wayne,WAYNE,Michigan,MICHIGAN,1749343
Wexford,WEXFORD,Michigan,MICHIGAN,33631
Aitkin,AITKIN,Minnesota,MINNESOTA,15886
Anoka,ANOKA,Minnesota,MINNESOTA,356921
Becker,BECKER,Minnesota,MINNESOTA,34423
Beltrami,BELTRAMI,Minnesota,MINNESOTA,47188
Benton,BENTON,Minnesota,MINNESOTA,40889
Big Stone,BIGSTONE,Minnesota,MINNESOTA,4991
Blue Earth,BLUEEARTH,Minnesota,MINNESOTA,67653
Brown,BROWN,Minnesota,MINNESOTA,25008
Carlton,CARLTON,Minnesota,MINNESOTA,35871
Carver,CARVER,Minnesota,MINNESOTA,105089
Cass,CASS,Minnesota,MINNESOTA,29779
Chippewa,CHIPPEWA,Minnesota,MINNESOTA,11800
Chisago,CHISAGO,Minnesota,MINNESOTA,56579
Clay,CLAY,Minnesota,MINNESOTA,64222
Clearwater,CLEARWATER,Minnesota,MINNESOTA,8818
Cook,COOK,Minnesota,MINNESOTA,5463
Cottonwood,COTTONWOOD,Minnesota,MINNESOTA,11196
Crow Wing,CROWWING,Minnesota,MINNESOTA,65055
Dakota,DAKOTA,Minnesota,MINNESOTA,429021
Dodge,DODGE,Minnesota,MINNESOTA,20934
Douglas,DOUGLAS,Minnesota,MINNESOTA,38141
Faribault,FARIBAULT,Minnesota,MINNESOTA,13653
Fillmore,FILLMORE,Minnesota,MINNESOTA,21067
Freeborn,FREEBORN,Minnesota,MINNESOTA,30281
Goodhue,GOODHUE,Minnesota,MINNESOTA,46340
Grant,GRANT,Minnesota,MINNESOTA,5972
Hennepin,HENNEPIN,Minnesota,MINNESOTA,1265843
Houston,HOUSTON,Minnesota,MINNESOTA,18600
Hubbard,HUBBARD,Minnesota,MINNESOTA,21491
Isanti,ISANTI,Minnesota,MINNESOTA,40596
Itasca,ITASCA,Minnesota,MINNESOTA,45130
Jackson,JACKSON,Minnesota,MINNESOTA,9846
Kanabec,KANABEC,Minnesota,MINNESOTA,16337
Kandiyohi,KANDIYOHI,Minnesota,MINNESOTA,43199
Kittson,KITTSON,Minnesota,MINNESOTA,4298
Koochiching,KOOCHICHING,Minnesota,MINNESOTA,12229
Lac qui Parle,LACQUIPARLE,Minnesota,MINNESOTA,6623
Lake,LAKE,Minnesota,MINNESOTA,10641
Lake of the Woods,LAKEOFTHEWOODS,Minnesota,MINNESOTA,3740
Le Sueur,LESUEUR,Minnesota,MINNESOTA,28887
Lincoln,LINCOLN,Minnesota,MINNESOTA,5639
Lyon,LYON,Minnesota,MINNESOTA,25474
McLeod,MCLEOD,Minnesota,MINNESOTA,35893
Mahnomen,MAHNOMEN,Minnesota,MINNESOTA,5527
Marshall,MARSHALL,Minnesota,MINNESOTA,9336
Martin,MARTIN,Minnesota,MINNESOTA,19683
Meeker,MEEKER,Minnesota,MINNESOTA,23222
Mille Lacs,MILLELACS,Minnesota,MINNESOTA,26277
Morrison,MORRISON,Minnesota,MINNESOTA,33386
Mower,MOWER,Minnesota,MINNESOTA,40062
Murray,MURRAY,Minnesota,MINNESOTA,8194
Nicollet,NICOLLET,Minnesota,MINNESOTA,34274
Nobles,NOBLES,Minnesota,MINNESOTA,21629
Norman,NORMAN,Minnesota,MINNESOTA,6375
Olmsted,OLMSTED,Minnesota,MINNESOTA,158293
Otter Tail,OTTERTAIL,Minnesota,MINNESOTA,58746
Pennington,PENNINGTON,Minnesota,MINNESOTA,14119
Pine,PINE,Minnesota,MINNESOTA,29579
Pipestone,PIPESTONE,Minnesota,MINNESOTA,9126
Polk,POLK,Minnesota,MINNESOTA,31364
Pope,POPE,Minnesota,MINNESOTA,11249
Ramsey,RAMSEY,Minnesota,MINNESOTA,550321
Red Lake,REDLAKE,Minnesota,MINNESOTA,4055
Redwood,REDWOOD,Minnesota,MINNESOTA,15170
Renville,RENVILLE,Minnesota,MINNESOTA,14548
Rice,RICE,Minnesota,MINNESOTA,66972
Rock,ROCK,Minnesota,MINNESOTA,9315
Roseau,ROSEAU,Minnesota,MINNESOTA,15165
St. Louis,ST.LOUIS,Minnesota,MINNESOTA,199070
Scott,SCOTT,Minnesota,MINNESOTA,149013
Sherburne,SHERBURNE,Minnesota,MINNESOTA,97238
Sibley,SIBLEY,Minnesota,MINNESOTA,14865
Stearns,STEARNS,Minnesota,MINNESOTA,161075
Steele,STEELE,Minnesota,MINNESOTA,36649
Stevens,STEVENS,Minnesota,MINNESOTA,9805
Swift,SWIFT,Minnesota,MINNESOTA,9266
Todd,TODD,Minnesota,MINNESOTA,24664
Traverse,TRAVERSE,Minnesota,MINNESOTA,3259
Wabasha,WABASHA,Minnesota,MINNESOTA,21627
Wadena,WADENA,Minnesota,MINNESOTA,13682
Waseca,WASECA,Minnesota,MINNESOTA,18612
Washington,WASHINGTON,Minnesota,MINNESOTA,262440
Watonwan,WATONWAN,Minnesota,MINNESOTA,10897
Wilkin,WILKIN,Minnesota,MINNESOTA,6207
Winona,WINONA,Minnesota,MINNESOTA,50484
Wright,WRIGHT,Minnesota,MINNESOTA,138377
Yellow Medicine,YELLOWMEDICINE,Minnesota,MINNESOTA,9709
Adams,ADAMS,Mississippi,MISSISSIPPI,30693
Alcorn,ALCORN,Mississippi,MISSISSIPPI,36953
Amite,AMITE,Mississippi,MISSISSIPPI,12297
Attala,ATTALA,Mississippi,MISSISSIPPI,18174
Benton,BENTON,Mississippi,MISSISSIPPI,8259
Bolivar,BOLIVAR,Mississippi,MISSISSIPPI,30628
Calhoun,CALHOUN,Mississippi,MISSISSIPPI,14361
Carroll,CARROLL,Mississippi,MISSISSIPPI,9947
Chickasaw,CHICKASAW,Mississippi,MISSISSIPPI,17103
Choctaw,CHOCTAW,Mississippi,MISSISSIPPI,8210
Claiborne,CLAIBORNE,Mississippi,MISSISSIPPI,8988
Clarke,CLARKE,Mississippi,MISSISSIPPI,15541
Clay,CLAY,Mississippi,MISSISSIPPI,19316
Coahoma,COAHOMA,Mississippi,MISSISSIPPI,22124
Copiah,COPIAH,Mississippi,MISSISSIPPI,28065
Covington,COVINGTON,Mississippi,MISSISSIPPI,18636
DeSoto,DESOTO,Mississippi,MISSISSIPPI,184945
Forrest,FORREST,Mississippi,MISSISSIPPI,74897
Franklin,FRANKLIN,Mississippi,MISSISSIPPI,7713
George,GEORGE,Mississippi,MISSISSIPPI,24500
Greene,GREENE,Mississippi,MISSISSIPPI,13586
Grenada,GRENADA,Mississippi,MISSISSIPPI,20758
Hancock,HANCOCK,Mississippi,MISSISSIPPI,47632
Harrison,HARRISON,Mississippi,MISSISSIPPI,208080
Hinds,HINDS,Mississippi,MISSISSIPPI,231840
Holmes,HOLMES,Mississippi,MISSISSIPPI,17010
Humphreys,HUMPHREYS,Mississippi,MISSISSIPPI,8064
Issaquena,ISSAQUENA,Mississippi,MISSISSIPPI,1327
Itawamba,ITAWAMBA,Mississippi,MISSISSIPPI,23390
Jackson,JACKSON,Mississippi,MISSISSIPPI,143617
Jasper,JASPER,Mississippi,MISSISSIPPI,16383
Jefferson,JEFFERSON,Mississippi,MISSISSIPPI,6990
Jefferson Davis,JEFFERSONDAVIS,Mississippi,MISSISSIPPI,11128
Jones,JONES,Mississippi,MISSISSIPPI,68098
Kemper,KEMPER,Mississippi,MISSISSIPPI,9742
Lafayette,LAFAYETTE,Mississippi,MISSISSIPPI,54019
Lamar,LAMAR,Mississippi,MISSISSIPPI,63343
Lauderdale,LAUDERDALE,Mississippi,MISSISSIPPI,74125
Lawrence,LAWRENCE,Mississippi,MISSISSIPPI,12586
Leake,LEAKE,Mississippi,MISSISSIPPI,22786
Lee,LEE,Mississippi,MISSISSIPPI,85436
Leflore,LEFLORE,Mississippi,MISSISSIPPI,28183
Lincoln,LINCOLN,Mississippi,MISSISSIPPI,34153
Lowndes,LOWNDES,Mississippi,MISSISSIPPI,58595
Madison,MADISON,Mississippi,MISSISSIPPI,106272
Marion,MARION,Mississippi,MISSISSIPPI,24573
Marshall,MARSHALL,Mississippi,MISSISSIPPI,35294
Monroe,MONROE,Mississippi,MISSISSIPPI,35252
Montgomery,MONTGOMERY,Mississippi,MISSISSIPPI,9775
Neshoba,NESHOBA,Mississippi,MISSISSIPPI,29118
Newton,NEWTON,Mississippi,MISSISSIPPI,21018
Noxubee,NOXUBEE,Mississippi,MISSISSIPPI,10417
Oktibbeha,OKTIBBEHA,Mississippi,MISSISSIPPI,49587
Panola,PANOLA,Mississippi,MISSISSIPPI,34192
Pearl River,PEARLRIVER,Mississippi,MISSISSIPPI,55535
Perry,PERRY,Mississippi,MISSISSIPPI,11973
Pike,PIKE,Mississippi,MISSISSIPPI,39288
Pontotoc,PONTOTOC,Mississippi,MISSISSIPPI,32174
Prentiss,PRENTISS,Mississippi,MISSISSIPPI,25126
Quitman,QUITMAN,Mississippi,MISSISSIPPI,6792
Rankin,RANKIN,Mississippi,MISSISSIPPI,155271
Scott,SCOTT,Mississippi,MISSISSIPPI,28124
Sharkey,SHARKEY,Mississippi,MISSISSIPPI,4321
Simpson,SIMPSON,Mississippi,MISSISSIPPI,26658
Smith,SMITH,Mississippi,MISSISSIPPI,15916
Stone,STONE,Mississippi,MISSISSIPPI,18336
Sunflower,SUNFLOWER,Mississippi,MISSISSIPPI,25110
Tallahatchie,TALLAHATCHIE,Mississippi,MISSISSIPPI,13809
Tate,TATE,Mississippi,MISSISSIPPI,28321
Tippah,TIPPAH,Mississippi,MISSISSIPPI,22015
Tishomingo,TISHOMINGO,Mississippi,MISSISSIPPI,19383
Tunica,TUNICA,Mississippi,MISSISSIPPI,9632
Union,UNION,Mississippi,MISSISSIPPI,28815
Walthall,WALTHALL,Mississippi,MISSISSIPPI,14286
Warren,WARREN,Mississippi,MISSISSIPPI,45381
Washington,WASHINGTON,Mississippi,MISSISSIPPI,43909
Wayne,WAYNE,Mississippi,MISSISSIPPI,20183
Webster,WEBSTER,Mississippi,MISSISSIPPI,9689
Wilkinson,WILKINSON,Mississippi,MISSISSIPPI,8630
Winston,WINSTON,Mississippi,MISSISSIPPI,17955
Yalobusha,YALOBUSHA,Mississippi,MISSISSIPPI,12108
Yazoo,YAZOO,Mississippi,MISSISSIPPI,29690
Adair,ADAIR,Missouri,MISSOURI,25343
Andrew,ANDREW,Missouri,MISSOURI,17712
Atchison,ATCHISON,Missouri,MISSOURI,5143
Audrain,AUDRAIN,Missouri,MISSOURI,25388
Barry,BARRY,Missouri,MISSOURI,35789
Barton,BARTON,Missouri,MISSOURI,11754
Bates,BATES,Missouri,MISSOURI,16172
Benton,BENTON,Missouri,MISSOURI,19443
Bollinger,BOLLINGER,Missouri,MISSOURI,12133
Boone,BOONE,Missouri,MISSOURI,180463
Buchanan,BUCHANAN,Missouri,MISSOURI,87364
Butler,BUTLER,Missouri,MISSOURI,42478
Caldwell,CALDWELL,Missouri,MISSOURI,9020
Callaway,CALLAWAY,Missouri,MISSOURI,44743
Camden,CAMDEN,Missouri,MISSOURI,46305
Cape Girardeau,CAPEGIRARDEAU,Missouri,MISSOURI,78871
Carroll,CARROLL,Missouri,MISSOURI,8679
Carter,CARTER,Missouri,MISSOURI,5982
Cass,CASS,Missouri,MISSOURI,105780
Cedar,CEDAR,Missouri,MISSOURI,14349
Chariton,CHARITON,Missouri,MISSOURI,7426
Christian,CHRISTIAN,Missouri,MISSOURI,88595
Clark,CLARK,Missouri,MISSOURI,6797
Clay,CLAY,Missouri,MISSOURI,249948
Clinton,CLINTON,Missouri,MISSOURI,20387
Cole,COLE,Missouri,MISSOURI,76745
Cooper,COOPER,Missouri,MISSOURI,17709
Crawford,CRAWFORD,Missouri,MISSOURI,23920
Dade,DADE,Missouri,MISSOURI,7561
Dallas,DALLAS,Missouri,MISSOURI,16878
Daviess,DAVIESS,Missouri,MISSOURI,8278
DeKalb,DEKALB,Missouri,MISSOURI,12547
Dent,DENT,Missouri,MISSOURI,15573
Douglas,DOUGLAS,Missouri,MISSOURI,13185
Dunklin,DUNKLIN,Missouri,MISSOURI,29131
Franklin,FRANKLIN,Missouri,MISSOURI,103967
Gasconade,GASCONADE,Missouri,MISSOURI,14706
Gentry,GENTRY,Missouri,MISSOURI,6571
Greene,GREENE,Missouri,MISSOURI,293086
Grundy,GRUNDY,Missouri,MISSOURI,9850
Harrison,HARRISON,Missouri,MISSOURI,8352
